snapshot_date,page_url,last_crawl,index_status,priority_followup
2026-05-16,https://slimerngtools.com/,2026-05-14,indexed,
2026-05-16,https://slimerngtools.com/codes/,2026-05-14,indexed,URL inspect after May 2026 title refresh
2026-05-16,https://slimerngtools.com/wiki/,2026-05-14,indexed,
2026-05-16,https://slimerngtools.com/guides/progression/,2026-05-12,indexed,
2026-05-16,https://slimerngtools.com/zh-cn/,2026-05-14,indexed,
2026-05-16,https://slimerngtools.com/zh-cn/codes/,2026-05-14,indexed,
2026-05-16,https://slimerngtools.com/zh-cn/wiki/,2026-05-13,indexed,
2026-05-16,https://slimerngtools.com/es/,2026-05-13,indexed,0 clicks on 21 impr in short window
2026-05-16,https://slimerngtools.com/es/codes/,2026-05-14,indexed,
2026-05-16,https://slimerngtools.com/es/wiki/,2026-05-14,indexed,
2026-05-16,https://slimerngtools.com/tools/luck-calculator/,,not_in_index_list,request indexing P0
2026-05-16,https://slimerngtools.com/tools/rebirth-planner/,,not_in_index_list,request indexing P0
2026-05-16,https://slimerngtools.com/guides/goop/,,not_in_index_list,request indexing P1
2026-05-16,https://slimerngtools.com/guides/rebirth/,,not_in_index_list,request indexing P1
2026-05-16,https://slimerngtools.com/guides/beginner/,,not_in_index_list,request indexing P1
2026-05-16,https://slimerngtools.com/recipes/,,not_in_index_list,request indexing P1
